iter	Logloss
0	0.6890245054
1	0.6850519583
2	0.6802955177
3	0.6759885618
4	0.6721302325
5	0.6688503774
6	0.6649154307
7	0.6609627118
8	0.6564127607
9	0.6535638707
10	0.6496694638
11	0.6447589583
12	0.6402398284
13	0.6355929469
14	0.6310125926
15	0.6268372447
16	0.6226509229
17	0.6189356807
18	0.6156503894
19	0.6123050668
20	0.6080822784
21	0.6045422153
22	0.6010522491
23	0.5979827392
24	0.5946137221
25	0.5918729836
26	0.5887878914
27	0.5856402916
28	0.582058104
29	0.5787628736
30	0.575539105
31	0.5723425369
32	0.5691661006
33	0.5663810325
34	0.5636574293
35	0.5612460644
36	0.5579544646
37	0.555094691
38	0.5523520694
39	0.5497625087
40	0.547195428
41	0.5438323463
42	0.5416689856
43	0.5387406706
44	0.5359871125
45	0.5328578922
46	0.5296959149
47	0.5272048956
48	0.5240969293
49	0.5210865341
50	0.5184406105
51	0.5152569441
52	0.5134300278
53	0.5104889153
54	0.5073265472
55	0.5044317391
56	0.5018473028
57	0.4990679176
58	0.4961097356
59	0.4949786363
60	0.4927542222
61	0.4906425454
62	0.4879294479
63	0.4856973229
64	0.4833706419
65	0.4808279543
66	0.4782047522
67	0.4760901896
68	0.4734527472
69	0.4710227674
70	0.4690096776
71	0.4666171421
72	0.4649842905
73	0.4626689652
74	0.4605867228
75	0.4587644876
76	0.456648266
77	0.4551566182
78	0.4532185566
79	0.4511473115
80	0.4493261195
81	0.4472883893
82	0.4449514771
83	0.4432376821
84	0.4409410887
85	0.4389605993
86	0.4365356623
87	0.4347313266
88	0.4333153592
89	0.4316561251
90	0.4298874645
91	0.4279623788
92	0.4260828689
93	0.4241145771
94	0.4220557901
95	0.4202842728
96	0.4181724773
97	0.4163329399
98	0.4142949802
99	0.4124841254
100	0.4110158194
101	0.4093361659
102	0.4071957426
103	0.4053815998
104	0.4035718819
105	0.4024099172
106	0.40071709
107	0.399191477
108	0.3972427607
109	0.3954767935
110	0.3937174989
111	0.3918042062
112	0.3903489416
113	0.3884212254
114	0.3865850178
115	0.384955446
116	0.3832419179
117	0.3816573137
118	0.3801877746
119	0.3786618241
120	0.3770869412
121	0.375497966
122	0.3742384549
123	0.3729731799
124	0.3716100885
125	0.3702595943
126	0.3685895521
127	0.366964937
128	0.365641387
129	0.3640301584
130	0.3627756909
131	0.3610204419
132	0.359695055
133	0.3584901436
134	0.3568931673
135	0.3556719131
136	0.3541944147
137	0.3526753528
138	0.3516302581
139	0.3502629276
140	0.3488907064
141	0.3473049611
142	0.3461532904
143	0.3450191932
144	0.3437026999
145	0.3424021099
146	0.3410330777
147	0.3398873526
148	0.3387825142
149	0.337436388
150	0.3362510731
151	0.3351539181
152	0.3340408392
153	0.3333381329
154	0.3320541244
155	0.3311442081
156	0.3302999963
157	0.3296216687
158	0.3285937871
159	0.3273609585
160	0.3260727692
161	0.3249827052
162	0.3239637249
163	0.3227991408
164	0.3215751901
165	0.3204454807
166	0.3195770191
167	0.3184174916
168	0.3172225878
169	0.31594007
170	0.3148470711
171	0.3137075364
172	0.3124282513
173	0.3114163592
174	0.3102110655
175	0.3091386957
176	0.3083557853
177	0.3072642856
178	0.3065668704
179	0.3054643412
180	0.3045833902
181	0.3037690593
182	0.3025909958
183	0.3014766678
184	0.3006808593
185	0.299718462
186	0.2985657915
187	0.2975264338
188	0.2965271398
189	0.2957539907
190	0.2946848249
191	0.2936866548
192	0.2928226188
193	0.2917795061
194	0.2909293976
195	0.2897599979
196	0.2888603871
197	0.287998909
198	0.2871749528
199	0.2863215183
200	0.2853804152
201	0.2845608674
202	0.2836938565
203	0.2824085327
204	0.281589311
205	0.2806949251
206	0.2797229007
207	0.2786621083
208	0.2783710529
209	0.2777369299
210	0.2771611792
211	0.276426704
212	0.2755522059
213	0.2744421962
214	0.2734982521
215	0.2724471003
216	0.2717247151
217	0.2708726499
218	0.2702551415
219	0.2692921139
220	0.2684044224
221	0.2677039193
