iter	Logloss
0	0.6861863408
1	0.6799924764
2	0.6738276647
3	0.6673321489
4	0.6616071371
5	0.6565227164
6	0.651175257
7	0.6458359141
8	0.6400293346
9	0.6345222055
10	0.6289567282
11	0.6235885834
12	0.6188596678
13	0.6150559026
14	0.6106695437
15	0.6068261047
16	0.6017974335
17	0.5969671532
18	0.5928576301
19	0.5883056042
20	0.5837793676
21	0.5790824274
22	0.5746702753
23	0.5710935219
24	0.5669508445
25	0.5639469616
26	0.5603294139
27	0.5561703059
28	0.5532823035
29	0.5495415315
30	0.547426099
31	0.5437906872
32	0.54076578
33	0.5380368547
34	0.5355734981
35	0.532041075
36	0.5289172111
37	0.5260554737
38	0.5228822135
39	0.5197108305
40	0.5167034453
41	0.5136663833
42	0.5111749485
43	0.5082604637
44	0.5060069918
45	0.5036588855
46	0.5011119706
47	0.4994168796
48	0.4973655439
49	0.4957018479
50	0.4936712743
51	0.4919798696
52	0.4902563014
53	0.4880225252
54	0.4863309468
55	0.484131658
56	0.4825999474
57	0.481670911
58	0.4793165784
59	0.4770847466
60	0.4749806462
61	0.4731282858
62	0.4716558987
63	0.4701019656
64	0.4693156631
65	0.4680041454
66	0.4662832483
67	0.4653362203
68	0.4645509649
69	0.4628657559
70	0.461572557
71	0.4595673379
72	0.4579619749
73	0.4567967042
74	0.45523386
75	0.4537831577
76	0.4520635928
77	0.4505330965
78	0.4495197703
79	0.4481947688
80	0.4470693431
81	0.4464892155
82	0.4453131944
83	0.4437357327
84	0.4424618447
85	0.4415562121
86	0.440198987
87	0.4392920549
88	0.4383432715
89	0.4370986721
90	0.4360012433
91	0.4352409055
92	0.4341567927
93	0.4331445431
94	0.431942928
95	0.4307824068
96	0.4298456112
97	0.42940547
98	0.4283029747
99	0.4274617724
100	0.4266254749
101	0.4260084733
102	0.4250660252
103	0.424359318
104	0.423423544
105	0.4223881661
106	0.4220423912
107	0.4212876539
108	0.4205515012
109	0.4202734496
110	0.4197772973
111	0.4190971693
112	0.4183887654
113	0.4176198685
114	0.4168482454
