iter	Passed	Remaining
0	2	2164
1	3	1929
2	5	1784
3	6	1735
4	8	1753
5	11	1922
6	13	1953
7	17	2154
8	19	2155
9	21	2145
10	23	2086
11	27	2233
12	28	2197
13	30	2121
14	32	2125
15	33	2076
16	35	2065
17	38	2089
18	40	2087
19	42	2079
20	44	2088
21	46	2066
22	48	2049
23	50	2059
24	54	2108
25	56	2100
26	59	2135
27	62	2164
28	64	2165
29	67	2179
30	69	2157
31	72	2178
32	74	2181
33	78	2225
34	79	2184
35	88	2381
36	92	2415
37	96	2443
38	98	2437
39	101	2435
40	112	2622
41	114	2608
42	116	2592
43	118	2578
44	120	2564
45	125	2608
46	128	2614
47	130	2579
48	132	2566
49	134	2555
50	138	2571
51	140	2562
52	143	2559
53	145	2551
54	147	2532
55	149	2526
56	153	2538
57	154	2509
58	159	2542
59	161	2533
60	166	2559
61	168	2551
62	171	2549
63	178	2616
64	179	2586
65	181	2574
66	186	2591
67	187	2569
68	188	2544
69	193	2571
70	197	2580
71	201	2597
72	206	2622
73	208	2611
74	210	2602
75	214	2605
76	217	2604
77	220	2605
78	222	2592
79	224	2580
80	226	2570
81	227	2547
82	230	2545
83	234	2552
84	236	2544
85	237	2526
86	239	2515
87	243	2527
88	247	2535
89	250	2528
90	251	2515
91	253	2505
92	255	2496
93	258	2490
94	261	2490
95	263	2482
96	269	2513
97	271	2494
98	275	2504
99	277	2499
100	284	2531
101	285	2515
102	288	2513
103	291	2508
104	293	2503
105	296	2499
106	297	2482
107	299	2472
108	301	2468
109	302	2451
110	304	2434
111	306	2430
112	309	2429
113	312	2424
114	314	2418
115	321	2447
116	323	2442
117	326	2441
118	328	2434
119	330	2425
120	335	2435
121	337	2432
122	339	2421
123	341	2414
124	346	2422
125	349	2422
126	351	2415
127	353	2410
128	356	2408
129	359	2408
130	361	2399
131	363	2391
132	366	2387
133	367	2377
134	369	2370
135	372	2363
136	375	2363
137	377	2357
138	378	2344
139	380	2336
140	381	2326
141	383	2317
142	385	2308
143	388	2311
144	393	2319
145	395	2311
146	397	2304
147	401	2309
148	405	2316
149	407	2307
150	409	2302
151	411	2295
152	415	2298
153	417	2295
154	420	2290
155	421	2283
156	424	2277
157	428	2285
158	431	2282
159	434	2283
160	436	2275
161	438	2267
162	439	2259
163	442	2255
164	444	2249
165	446	2245
166	448	2237
167	450	2230
168	452	2224
169	455	2224
170	457	2217
171	460	2216
172	462	2209
173	464	2203
174	466	2198
175	469	2200
176	471	2192
177	472	2182
178	474	2176
179	476	2171
180	478	2164
181	479	2156
182	482	2153
183	484	2147
184	485	2140
185	487	2132
186	488	2125
187	490	2118
188	492	2113
189	494	2106
190	496	2103
191	498	2097
192	500	2090
193	500	2081
194	502	2076
195	504	2069
196	506	2063
197	507	2053
198	509	2049
199	511	2047
200	513	2042
201	514	2034
202	516	2028
203	518	2023
204	520	2017
205	522	2014
206	525	2011
207	526	2005
208	528	2000
209	530	1994
210	531	1987
211	533	1982
212	535	1977
213	537	1972
214	539	1970
215	541	1966
216	543	1962
217	545	1957
218	547	1952
219	549	1946
220	551	1943
221	553	1939
222	555	1934
223	557	1931
224	559	1926
225	560	1919
226	561	1912
227	563	1908
228	566	1906
229	568	1901
230	570	1898
231	571	1893
232	573	1886
233	574	1881
234	576	1875
235	578	1871
236	580	1867
237	581	1862
238	583	1858
239	585	1853
240	589	1855
241	594	1863
242	598	1863
243	599	1858
244	601	1852
245	602	1847
246	604	1842
247	606	1837
248	609	1839
249	611	1834
250	614	1832
251	616	1829
252	619	1829
253	621	1826
254	624	1824
255	626	1820
256	627	1814
257	629	1810
258	632	1808
259	634	1805
260	636	1801
261	637	1796
262	639	1793
263	641	1788
264	643	1783
265	650	1795
266	656	1801
267	659	1800
268	665	1807
269	667	1805
270	669	1800
271	670	1793
272	671	1789
273	674	1786
274	678	1788
275	679	1782
276	681	1779
277	683	1775
278	686	1772
279	687	1768
280	690	1765
281	692	1762
282	693	1758
283	695	1753
284	697	1749
285	699	1747
286	703	1747
287	705	1743
288	707	1739
289	708	1735
290	710	1731
291	712	1726
292	713	1722
293	717	1723
294	721	1725
295	724	1722
296	725	1718
297	734	1729
298	736	1726
299	738	1722
300	740	1720
301	741	1714
302	748	1721
303	750	1719
304	753	1716
305	754	1710
306	756	1707
307	759	1705
308	761	1703
309	763	1699
310	765	1695
311	767	1691
312	770	1690
313	774	1690
314	776	1688
315	778	1685
316	780	1680
317	786	1686
318	791	1689
319	793	1686
320	800	1692
321	802	1689
322	805	1687
323	807	1685
324	809	1681
325	817	1689
326	819	1686
327	821	1683
328	825	1682
329	827	1679
330	828	1675
331	831	1672
332	837	1677
333	839	1674
334	842	1671
335	845	1671
336	848	1669
337	855	1674
338	857	1672
339	860	1670
340	861	1665
341	866	1667
342	869	1665
343	872	1664
344	877	1665
345	881	1665
346	885	1667
347	887	1663
348	890	1660
349	893	1660
350	897	1658
351	899	1655
352	901	1651
353	903	1647
354	906	1647
355	910	1646
