,url
101,https://www.goodreads.com//book/show/68429.The_Well_of_Ascension
102,https://www.goodreads.com//book/show/91964.The_Briar_King
103,https://www.goodreads.com//book/show/10762697-the-farseer-trilogy
104,https://www.goodreads.com//book/show/36159.Black_Sun_Rising
105,https://www.goodreads.com//book/show/15985373-emperor-of-thorns
106,https://www.goodreads.com//book/show/618177.Legend
107,https://www.goodreads.com//book/show/44659.Pawn_of_Prophecy
108,https://www.goodreads.com//book/show/34897.The_Dragon_Reborn
109,https://www.goodreads.com//book/show/104085.A_Song_for_Arbonne
110,https://www.goodreads.com//book/show/74270.Luck_in_the_Shadows
111,https://www.goodreads.com//book/show/6342491-the-demon-king
112,https://www.goodreads.com//book/show/537124.Deryni_Rising
113,https://www.goodreads.com//book/show/8667848-a-discovery-of-witches
114,https://www.goodreads.com//book/show/9533378-hounded
115,https://www.goodreads.com//book/show/43916.Magician
116,https://www.goodreads.com//book/show/6604209-mistborn-trilogy-boxed-set
117,https://www.goodreads.com//book/show/9539.The_Shadow_Rising
118,https://www.goodreads.com//book/show/119322.The_Golden_Compass
119,https://www.goodreads.com//book/show/6437061-the-hundred-thousand-kingdoms
120,https://www.goodreads.com//book/show/55401.Deadhouse_Gates
121,https://www.goodreads.com//book/show/301538.The_Darkness_That_Comes_Before
122,https://www.goodreads.com//book/show/33396914-assassin-s-quest
123,https://www.goodreads.com//book/show/256683.City_of_Bones
124,https://www.goodreads.com//book/show/671560.The_Bone_Doll_s_Twin
125,https://www.goodreads.com//book/show/150739.Dealing_with_Dragons
126,https://www.goodreads.com//book/show/16793.Stardust
127,https://www.goodreads.com//book/show/33482.The_Coming_of_Conan_the_Cimmerian
128,https://www.goodreads.com//book/show/81069.The_Forgotten_Beasts_of_Eld
129,https://www.goodreads.com//book/show/110692.The_Redemption_of_Althalus
130,https://www.goodreads.com//book/show/236093.The_Wonderful_Wizard_of_Oz
131,https://www.goodreads.com//book/show/18693743-prince-of-fools
132,https://www.goodreads.com//book/show/902715.Before_They_Are_Hanged
133,https://www.goodreads.com//book/show/60510.Poison_Study
134,https://www.goodreads.com//book/show/2248573.Brisingr
135,https://www.goodreads.com//book/show/8490112-daughter-of-smoke-bone
136,https://www.goodreads.com//book/show/498214.Daggerspell
137,https://www.goodreads.com//book/show/6137154-fire
138,https://www.goodreads.com//book/show/944076.Last_Argument_of_Kings
139,https://www.goodreads.com//book/show/448873.The_Thief
140,https://www.goodreads.com//book/show/231989.The_Wayfarer_Redemption
141,https://www.goodreads.com//book/show/30165203-american-gods
142,https://www.goodreads.com//book/show/15575.The_Sword_of_Shannara
143,https://www.goodreads.com//book/show/16031258-the-steward
144,https://www.goodreads.com//book/show/52357.Beowulf
145,https://www.goodreads.com//book/show/13626269-shadows-of-the-realm
146,https://www.goodreads.com//book/show/40604556-red-seas-under-red-skies
147,https://www.goodreads.com//book/show/23258641-van-laven-chronicles
148,https://www.goodreads.com//book/show/9300768-the-heroes
149,https://www.goodreads.com//book/show/51476294-adhaata-asao-s-liege
150,https://www.goodreads.com//book/show/25300956-royal-assassin
151,https://www.goodreads.com//book/show/20406003-the-stones-of-andarus
152,https://www.goodreads.com//book/show/144127.The_Runelords
153,https://www.goodreads.com//book/show/19161852-the-fifth-season
154,https://www.goodreads.com//book/show/4932435-finnikin-of-the-rock
155,https://www.goodreads.com//book/show/153007.Kushiel_s_Scion
156,https://www.goodreads.com//book/show/34002132-oathbringer
157,https://www.goodreads.com//book/show/9361589-the-night-circus
