iter	Passed	Remaining
421	2650	3630
422	2676	3650
423	2680	3641
424	2686	3635
425	2693	3628
426	2699	3622
427	2702	3612
428	2710	3607
429	2717	3601
430	2723	3595
431	2730	3589
432	2736	3583
433	2775	3620
434	2779	3610
435	2786	3604
436	2792	3597
437	2798	3591
438	2805	3584
439	2811	3578
440	2819	3573
441	2823	3564
442	2829	3557
443	2836	3551
444	2841	3543
445	2870	3565
446	2874	3555
447	2880	3549
448	2887	3542
449	2896	3540
450	2900	3530
451	2906	3524
452	2913	3518
453	2920	3512
454	2927	3507
455	2931	3497
456	2938	3491
457	2940	3480
458	2971	3502
459	2976	3494
460	2983	3488
461	2989	3481
462	2996	3475
463	3002	3468
464	3009	3462
465	3016	3456
466	3022	3449
467	3030	3444
468	3035	3436
469	3063	3454
470	3070	3448
471	3077	3442
472	3083	3435
473	3090	3429
474	3096	3422
475	3103	3416
476	3109	3409
477	3116	3403
478	3122	3396
479	3126	3386
480	3133	3381
481	3167	3404
482	3174	3397
483	3181	3391
484	3189	3386
485	3194	3378
486	3201	3371
487	3208	3366
488	3214	3358
489	3220	3352
490	3227	3346
491	3231	3337
492	3264	3357
493	3268	3347
494	3276	3342
495	3282	3335
496	3289	3329
497	3296	3322
498	3303	3316
499	3312	3312
500	3316	3303
501	3322	3296
502	3329	3289
503	3361	3308
504	3369	3302
505	3373	3293
506	3382	3289
507	3388	3281
508	3394	3274
509	3401	3268
510	3411	3264
511	3418	3258
512	3425	3251
513	3429	3242
514	3436	3235
515	3443	3229
516	3460	3232
517	3467	3226
518	3476	3221
519	3480	3213
520	3484	3203
521	3491	3197
522	3498	3190
523	3506	3185
524	3512	3178
525	3516	3168
526	3523	3162
527	3530	3156
528	3538	3150
529	3554	3152
530	3563	3147
531	3567	3138
532	3574	3131
533	3581	3125
534	3587	3118
535	3595	3112
536	3600	3104
537	3607	3097
538	3611	3088
539	3617	3081
540	3624	3074
541	3659	3092
542	3663	3083
543	3670	3076
544	3679	3072
545	3688	3067
546	3695	3060
547	3700	3051
548	3706	3045
549	3714	3038
550	3720	3031
551	3726	3024
552	3732	3016
553	3752	3021
554	3758	3013
555	3762	3004
