iter	Passed	Remaining
460	787	921
461	789	918
462	790	916
463	791	914
464	792	912
465	794	910
466	795	908
467	797	906
468	798	904
469	800	902
470	801	900
471	802	897
472	804	895
473	805	893
474	806	891
475	808	889
476	810	888
477	811	886
478	812	884
479	814	882
480	815	880
481	817	878
482	818	876
483	820	874
484	821	872
485	823	870
486	824	868
487	825	865
488	826	864
489	827	861
490	829	859
491	830	857
492	832	855
493	833	853
494	834	851
495	835	849
496	837	847
497	838	845
498	839	843
499	840	840
500	842	838
501	843	836
502	844	834
503	846	832
504	847	830
505	848	828
506	850	826
507	851	824
508	852	822
509	854	820
510	855	818
511	856	816
512	858	814
513	859	812
514	860	810
515	862	808
516	863	806
517	864	804
518	865	802
519	867	800
520	868	798
521	870	796
522	871	795
523	873	793
524	874	791
525	875	789
526	877	787
527	878	785
528	880	783
529	881	781
530	882	779
531	884	777
532	885	775
533	886	773
534	887	771
535	888	769
536	890	767
537	891	765
538	893	763
539	894	761
540	895	760
541	897	758
542	898	756
543	899	754
544	901	752
545	902	750
546	903	748
547	905	746
548	906	744
549	907	742
550	908	740
551	910	738
552	911	736
553	913	735
554	914	733
555	916	731
556	916	729
557	918	727
558	919	725
559	920	723
560	921	721
561	923	719
562	924	717
563	926	715
564	927	714
565	928	712
566	930	710
567	931	708
568	932	706
569	933	704
570	934	702
571	936	700
572	937	698
573	938	696
574	939	694
575	941	692
576	942	690
577	943	689
578	944	686
579	946	685
580	947	683
581	948	681
582	949	679
583	951	677
584	952	675
585	954	674
586	956	672
587	957	671
588	959	669
589	960	667
590	961	665
591	962	663
592	964	662
593	966	660
594	968	659
595	969	657
596	971	655
597	972	653
598	973	651
599	975	650
600	976	648
601	977	646
602	979	644
603	980	642
604	981	641
605	983	639
606	984	637
607	985	635
608	987	633
609	988	632
610	989	630
611	991	628
612	992	626
613	993	624
614	994	622
615	996	620
616	997	619
617	998	617
618	1000	615
619	1001	613
620	1002	612
621	1004	610
622	1005	608
623	1007	606
624	1008	605
625	1009	603
626	1011	601
627	1012	599
628	1014	598
629	1015	596
630	1016	594
631	1018	592
632	1019	591
633	1021	589
634	1022	587
635	1023	585
636	1025	584
637	1026	582
638	1028	580
639	1029	579
640	1031	577
641	1032	575
642	1033	573
643	1035	572
644	1036	570
645	1037	568
646	1039	566
647	1040	565
648	1041	563
649	1042	561
650	1043	559
651	1045	557
652	1046	556
653	1047	554
654	1049	552
655	1050	550
656	1051	549
657	1052	547
658	1054	545
659	1055	543
660	1056	542
661	1058	540
662	1059	538
663	1061	537
664	1062	535
665	1064	533
666	1065	532
667	1067	530
668	1068	528
669	1069	526
670	1071	525
671	1072	523
672	1073	521
673	1074	519
674	1075	518
675	1077	516
676	1078	514
677	1079	512
678	1081	511
679	1082	509
680	1083	507
681	1085	505
682	1086	504
683	1087	502
684	1089	500
685	1090	499
686	1091	497
687	1093	495
688	1094	494
689	1096	492
690	1098	491
691	1100	489
692	1101	487
693	1102	486
694	1103	484
695	1105	482
696	1106	481
697	1109	479
698	1110	478
699	1111	476
700	1113	474
701	1114	473
702	1116	471
703	1117	469
704	1118	468
705	1120	466
706	1120	464
707	1122	462
708	1123	461
709	1124	459
710	1125	457
711	1126	455
712	1128	454
713	1129	452
714	1130	450
715	1132	449
716	1133	447
717	1134	445
718	1135	443
719	1136	442
720	1138	440
721	1139	438
722	1141	437
723	1141	435
724	1143	433
725	1144	431
726	1145	430
727	1147	428
728	1148	426
729	1149	425
730	1151	423
731	1152	421
732	1153	420
733	1155	418
734	1156	417
735	1158	415
736	1159	413
737	1161	412
738	1162	410
739	1163	408
740	1165	407
741	1166	405
742	1167	403
743	1169	402
744	1170	400
745	1172	399
746	1174	397
747	1175	396
748	1177	394
749	1178	392
750	1180	391
751	1181	389
752	1182	387
753	1184	386
754	1185	384
755	1186	383
756	1188	381
757	1189	379
758	1190	378
759	1192	376
760	1193	374
761	1194	373
762	1196	371
763	1197	369
764	1199	368
765	1200	366
766	1202	365
767	1203	363
768	1205	362
769	1207	360
770	1208	358
771	1209	357
772	1211	355
773	1212	354
774	1214	352
775	1215	350
776	1217	349
777	1218	347
778	1219	346
779	1220	344
780	1222	342
781	1223	341
782	1224	339
783	1226	337
784	1227	336
785	1228	334
786	1230	332
787	1231	331
788	1232	329
789	1233	328
790	1235	326
791	1236	324
792	1237	323
793	1239	321
794	1240	319
795	1241	318
796	1242	316
797	1244	314
798	1245	313
799	1247	311
800	1248	310
801	1249	308
802	1251	306
803	1253	305
804	1254	303
805	1256	302
806	1258	300
807	1259	299
808	1261	297
809	1262	296
810	1263	294
811	1265	292
812	1266	291
813	1267	289
814	1269	288
815	1270	286
816	1271	284
817	1273	283
818	1274	281
819	1275	280
820	1277	278
821	1278	276
822	1280	275
823	1281	273
824	1282	272
825	1284	270
826	1285	268
827	1286	267
828	1288	265
829	1289	264
830	1290	262
831	1291	260
832	1293	259
833	1294	257
834	1296	256
835	1297	254
836	1298	252
837	1300	251
838	1302	249
839	1303	248
840	1305	246
841	1306	245
842	1308	243
843	1309	242
844	1310	240
845	1312	238
846	1313	237
847	1314	235
848	1316	234
849	1317	232
850	1318	230
851	1320	229
852	1321	227
853	1322	226
854	1324	224
855	1325	222
856	1326	221
857	1328	219
858	1329	218
859	1330	216
860	1331	215
861	1333	213
862	1334	211
863	1335	210
864	1337	208
865	1338	207
866	1339	205
867	1341	203
868	1342	202
869	1344	200
870	1345	199
871	1347	197
872	1348	196
873	1349	194
874	1351	193
875	1352	191
876	1354	189
877	1355	188
878	1356	186
879	1358	185
880	1359	183
881	1360	182
882	1362	180
883	1363	178
884	1364	177
885	1366	175
886	1367	174
887	1368	172
888	1370	171
889	1371	169
890	1372	167
891	1374	166
892	1375	164
893	1376	163
894	1377	161
895	1379	160
896	1380	158
897	1381	156
898	1382	155
899	1384	153
900	1385	152
901	1386	150
902	1388	149
903	1389	147
904	1391	146
905	1392	144
906	1393	142
907	1395	141
908	1396	139
909	1398	138
910	1399	136
911	1400	135
912	1402	133
913	1403	132
914	1405	130
915	1406	128
916	1407	127
917	1409	125
918	1410	124
919	1412	122
920	1414	121
921	1415	119
922	1416	118
923	1417	116
924	1419	115
925	1420	113
926	1422	111
927	1423	110
928	1424	108
929	1426	107
930	1427	105
931	1428	104
932	1430	102
