iter	Passed	Remaining
415	4472	6278
416	4493	6282
417	4534	6314
418	4561	6325
419	4583	6330
420	4597	6323
421	4610	6314
422	4622	6305
423	4639	6303
424	4670	6318
425	4687	6315
426	4702	6310
427	4713	6298
428	4727	6292
429	4741	6285
430	4748	6268
431	4758	6256
432	4769	6245
433	4777	6230
434	4798	6232
435	4811	6223
436	4823	6214
437	4838	6207
438	4849	6197
439	4871	6200
440	4888	6196
441	4907	6195
442	4922	6188
443	4935	6180
444	4953	6177
445	4968	6171
446	4994	6178
447	5009	6172
448	5022	6163
449	5036	6155
450	5051	6149
451	5064	6140
452	5077	6131
453	5095	6128
454	5113	6125
455	5133	6124
456	5142	6110
457	5155	6100
458	5184	6110
459	5199	6103
460	5214	6096
461	5225	6084
462	5254	6094
463	5268	6086
464	5280	6075
465	5302	6076
466	5315	6067
467	5337	6066
468	5351	6058
469	5368	6054
470	5385	6048
471	5397	6037
472	5406	6023
473	5411	6005
474	5423	5993
475	5428	5976
476	5438	5962
477	5446	5948
478	5453	5931
479	5473	5930
480	5484	5917
481	5493	5904
482	5502	5889
483	5517	5882
484	5533	5876
485	5543	5862
486	5556	5853
487	5564	5838
488	5571	5821
489	5577	5804
490	5582	5787
491	5588	5770
492	5595	5754
493	5602	5739
494	5610	5723
495	5619	5709
496	5629	5697
497	5635	5680
498	5645	5668
499	5658	5658
500	5666	5643
501	5673	5627
502	5680	5612
503	5687	5597
504	5692	5580
505	5699	5564
506	5705	5547
507	5711	5531
508	5716	5514
509	5722	5498
510	5731	5484
511	5745	5476
512	5753	5462
513	5775	5461
514	5793	5455
515	5801	5442
516	5810	5428
517	5817	5412
518	5827	5400
519	5835	5386
520	5847	5376
521	5860	5366
522	5871	5355
523	5882	5343
524	5889	5328
525	5898	5315
526	5906	5301
527	5915	5287
528	5928	5278
529	5937	5265
530	5943	5249
531	5948	5232
532	5954	5217
533	5961	5202
534	5970	5188
535	5982	5178
536	5988	5163
537	5994	5147
538	6004	5135
539	6010	5120
540	6016	5104
541	6023	5089
542	6028	5074
543	6035	5059
544	6045	5047
545	6052	5032
546	6058	5017
547	6064	5002
548	6070	4986
549	6076	4972
550	6084	4958
551	6091	4943
552	6099	4930
553	6107	4916
554	6115	4903
555	6122	4889
556	6128	4873
557	6133	4858
558	6139	4843
559	6148	4830
560	6155	4816
561	6162	4802
562	6170	4789
563	6177	4775
564	6181	4759
565	6187	4744
566	6192	4729
567	6198	4713
568	6203	4698
569	6208	4683
570	6217	4671
571	6223	4656
572	6229	4642
573	6234	4626
574	6239	4612
575	6244	4596
576	6249	4581
577	6255	4566
578	6259	4551
579	6264	4536
580	6270	4522
581	6276	4507
582	6281	4492
583	6286	4478
584	6291	4463
585	6296	4448
586	6301	4433
587	6307	4419
588	6312	4405
589	6319	4391
590	6324	4376
591	6333	4365
592	6340	4351
593	6347	4338
594	6353	4324
595	6358	4310
596	6363	4295
597	6369	4281
598	6374	4267
599	6379	4252
600	6384	4238
601	6388	4223
602	6393	4209
603	6399	4195
604	6406	4182
605	6410	4167
606	6416	4154
607	6421	4140
608	6425	4125
609	6431	4111
610	6436	4097
611	6440	4083
612	6446	4069
613	6450	4055
614	6455	4041
615	6461	4027
616	6465	4013
617	6471	4000
618	6477	3986
619	6482	3973
620	6487	3959
621	6494	3947
622	6500	3933
623	6505	3920
624	6509	3905
625	6515	3892
626	6522	3880
627	6527	3866
628	6533	3853
629	6539	3840
630	6545	3827
631	6549	3813
632	6554	3800
633	6560	3787
634	6564	3773
635	6569	3759
636	6574	3746
637	6579	3733
638	6585	3720
639	6590	3707
640	6596	3694
641	6602	3681
642	6608	3669
643	6613	3656
644	6618	3642
645	6622	3629
646	6626	3615
647	6633	3603
648	6641	3592
649	6648	3579
650	6653	3566
651	6658	3554
652	6667	3543
653	6672	3529
654	6678	3517
655	6685	3505
656	6690	3493
657	6695	3479
658	6700	3466
659	6704	3453
660	6710	3441
661	6715	3428
662	6722	3417
663	6727	3404
664	6733	3391
665	6738	3379
666	6742	3366
667	6749	3354
668	6753	3341
669	6757	3328
670	6763	3316
671	6768	3303
672	6773	3290
673	6781	3279
674	6785	3267
675	6792	3255
676	6796	3242
677	6802	3230
678	6808	3218
679	6811	3205
680	6817	3193
681	6823	3181
682	6827	3169
683	6833	3156
684	6841	3145
685	6846	3133
686	6850	3121
687	6862	3111
688	6867	3099
689	6872	3087
690	6878	3075
691	6882	3063
692	6887	3051
693	6892	3039
694	6897	3026
695	6902	3015
696	6908	3003
697	6913	2991
698	6920	2980
699	6926	2968
700	6932	2956
701	6936	2944
702	6942	2933
703	6948	2921
704	6952	2909
705	6957	2897
706	6963	2885
707	6967	2873
708	6973	2862
709	6979	2850
710	6986	2839
711	6990	2827
712	6996	2816
713	7000	2804
714	7005	2792
715	7011	2780
716	7019	2770
717	7023	2758
718	7029	2747
719	7037	2736
720	7042	2725
721	7049	2714
722	7054	2702
723	7059	2691
724	7064	2679
725	7070	2668
726	7074	2656
727	7080	2645
728	7086	2634
729	7090	2622
730	7095	2611
731	7103	2600
732	7107	2588
733	7112	2577
734	7120	2567
735	7126	2556
736	7132	2545
737	7136	2533
738	7142	2522
739	7146	2510
740	7151	2499
741	7156	2488
742	7161	2477
743	7167	2466
744	7172	2455
745	7179	2444
746	7183	2433
747	7192	2422
748	7197	2411
749	7203	2401
750	7211	2390
751	7215	2379
752	7220	2368
753	7225	2357
754	7230	2346
755	7236	2335
756	7242	2324
757	7249	2314
758	7253	2303
759	7259	2292
760	7265	2281
761	7269	2270
762	7275	2259
763	7280	2248
764	7284	2237
765	7289	2226
766	7294	2216
767	7299	2204
768	7305	2194
769	7311	2184
770	7316	2173
771	7322	2162
772	7327	2151
773	7331	2140
774	7337	2130
775	7342	2119
776	7349	2109
777	7357	2099
778	7373	2091
779	7390	2084
780	7398	2074
781	7405	2064
782	7411	2053
783	7418	2043
784	7426	2034
785	7433	2024
786	7441	2014
787	7448	2003
788	7456	1994
789	7465	1984
790	7470	1973
791	7475	1963
792	7479	1952
793	7484	1941
794	7489	1931
795	7494	1920
796	7500	1910
797	7505	1899
798	7510	1889
799	7516	1879
800	7522	1868
801	7527	1858
802	7531	1847
803	7537	1837
804	7544	1827
805	7548	1816
806	7555	1806
807	7562	1796
808	7567	1786
809	7572	1776
810	7577	1765
811	7585	1756
812	7590	1746
813	7595	1735
814	7601	1725
815	7606	1715
816	7611	1704
817	7617	1694
818	7626	1685
819	7631	1675
820	7638	1665
821	7644	1655
822	7650	1645
823	7657	1635
824	7663	1625
825	7668	1615
826	7673	1605
827	7678	1595
828	7685	1585
829	7689	1574
830	7696	1565
831	7708	1556
832	7722	1548
833	7736	1539
834	7765	1534
835	7779	1526
836	7789	1517
837	7797	1507
838	7812	1499
839	7826	1490
840	7835	1481
841	7842	1471
842	7849	1461
843	7853	1451
844	7858	1441
845	7865	1431
846	7869	1421
847	7874	1411
848	7881	1401
849	7888	1392
850	7896	1382
851	7904	1373
852	7915	1364
853	7929	1355
854	7942	1347
855	7958	1338
856	7969	1329
857	7983	1321
858	7999	1313
859	8009	1303
860	8022	1295
861	8032	1285
862	8039	1276
863	8045	1266
864	8049	1256
865	8055	1246
866	8061	1236
867	8072	1227
868	8078	1217
869	8089	1208
870	8113	1201
871	8122	1192
872	8134	1183
873	8141	1173
874	8145	1163
875	8151	1153
876	8158	1144
877	8163	1134
878	8168	1124
879	8175	1114
880	8180	1105
881	8186	1095
882	8190	1085
883	8196	1075
884	8202	1065
885	8206	1055
886	8211	1046
887	8217	1036
888	8223	1026
889	8228	1016
890	8235	1007
891	8241	997
892	8250	988
893	8254	978
894	8259	968
895	8266	959
896	8272	949
897	8276	940
898	8282	930
899	8288	920
900	8292	911
901	8299	901
902	8305	892
903	8311	882
904	8315	872
905	8320	863
906	8326	853
907	8330	844
908	8335	834
909	8340	824
910	8344	815
911	8351	805
912	8355	796
913	8361	786
914	8371	777
915	8381	768
916	8391	759
917	8404	750
918	8414	741
919	8425	732
920	8438	723
921	8449	714
922	8459	705
923	8471	696
924	8480	687
925	8490	678
926	8502	669
927	8512	660
928	8523	651
929	8535	642
930	8542	633
931	8548	623
932	8554	614
933	8561	605
934	8568	595
935	8575	586
936	8581	576
937	8586	567
938	8596	558
939	8600	548
940	8607	539
941	8618	530
942	8623	521
943	8628	511
944	8632	502
945	8638	493
946	8643	483
947	8648	474
948	8654	465
949	8659	455
950	8664	446
951	8669	437
952	8674	427
953	8678	418
954	8684	409
955	8688	399
956	8693	390
957	8699	381
958	8703	372
959	8709	362
960	8715	353
961	8722	344
962	8726	335
963	8731	326
964	8737	316
965	8742	307
966	8747	298
967	8752	289
968	8757	280
969	8762	271
970	8770	261
971	8777	252
972	8784	243
973	8791	234
974	8795	225
975	8801	216
976	8806	207
977	8810	198
978	8815	189
979	8819	179
980	8824	170
981	8830	161
982	8834	152
983	8841	143
984	8846	134
985	8852	125
986	8856	116
987	8861	107
988	8865	98
989	8871	89
990	8876	80
991	8880	71
992	8885	62
993	8892	53
994	8896	44
995	8901	35
996	8908	26
997	8912	17
998	8919	8
999	8924	0
