iter	RMSE
331	12915.86177
332	12889.17462
333	12865.07206
334	12828.62737
335	12802.91317
336	12788.81072
337	12762.0908
338	12751.34378
339	12715.56621
340	12686.36452
341	12665.58023
342	12621.46516
343	12579.78665
344	12575.7941
345	12563.21615
346	12543.7313
347	12519.22559
348	12498.23179
349	12492.17263
350	12461.09772
351	12439.92651
352	12420.35458
353	12394.01822
354	12381.00429
355	12366.50027
356	12335.81809
357	12311.24863
358	12300.53726
359	12263.96906
360	12240.42063
361	12218.5809
362	12201.30081
363	12180.81831
364	12157.23514
365	12137.12564
366	12127.51711
367	12103.55275
368	12086.28693
369	12068.89381
370	12054.50397
371	12034.80198
372	12004.64388
373	11971.18735
374	11950.85655
375	11927.65586
376	11892.47637
377	11883.49213
378	11860.13748
379	11843.00372
380	11823.67654
381	11803.39734
382	11781.44464
383	11761.01208
384	11745.40092
385	11740.16923
386	11724.72813
387	11707.53353
388	11686.50371
389	11653.67192
390	11642.61425
391	11619.68829
392	11610.75561
393	11581.32041
394	11564.50531
395	11560.08266
396	11550.65661
397	11546.90032
398	11526.28325
399	11499.2494
400	11475.54239
401	11472.01323
402	11467.62397
403	11442.11805
404	11421.26181
405	11396.58604
406	11378.1895
407	11368.40103
408	11337.81768
409	11313.96301
410	11289.12742
411	11258.97999
412	11256.31008
413	11234.8478
414	11211.62121
415	11195.08703
416	11191.12397
417	11174.59796
418	11158.66046
419	11136.39121
420	11114.53339
421	11100.74418
422	11070.50199
423	11061.69141
424	11042.14901
425	11024.81039
426	10996.61029
427	10983.56472
428	10962.60651
429	10957.39743
430	10935.58729
431	10922.68619
432	10912.06145
433	10895.3019
434	10877.84346
435	10872.11395
436	10863.19797
437	10852.52438
438	10850.32184
439	10835.86992
440	10821.42935
441	10802.74113
442	10787.09207
443	10765.35462
444	10743.22563
445	10725.20002
446	10709.58694
447	10694.2645
448	10669.20369
449	10647.29796
450	10635.33352
451	10621.36607
452	10596.47169
453	10591.47616
454	10582.32085
455	10562.42269
456	10560.26375
457	10543.24014
458	10523.75239
459	10515.99234
460	10514.7294
461	10505.79783
462	10485.39536
463	10482.59286
464	10466.16763
465	10450.99538
466	10437.56308
467	10428.08858
468	10425.69401
469	10410.91923
470	10397.43823
471	10389.76199
472	10374.75222
473	10351.21857
474	10334.84255
475	10317.45192
476	10300.05778
477	10277.04954
478	10266.9795
479	10249.6357
480	10235.9636
481	10234.42765
482	10219.91172
483	10201.19377
484	10177.92255
485	10160.43025
486	10158.97739
487	10144.09927
488	10129.71309
489	10117.0334
490	10100.66511
491	10085.01771
492	10072.03783
493	10060.38273
494	10059.06028
495	10044.32125
496	10026.9568
497	10025.38551
498	10012.94035
499	9998.323803
500	9987.548465
501	9976.035547
502	9966.472877
503	9952.398535
504	9938.179789
505	9924.225007
506	9902.007418
507	9885.959466
508	9870.520684
509	9852.670779
510	9835.501576
511	9825.550545
512	9819.373368
513	9805.030846
514	9795.549136
515	9794.291109
516	9793.233289
517	9792.088539
518	9780.103985
519	9769.339157
520	9768.325184
521	9749.854797
522	9732.986038
523	9719.482286
524	9718.336191
525	9716.62427
526	9704.33762
527	9688.712818
528	9687.66961
529	9686.333888
530	9666.74768
531	9646.448465
532	9645.384688
533	9635.479449
534	9634.206047
535	9617.661011
536	9611.631084
537	9596.842669
538	9581.463797
539	9580.287774
540	9561.87804
541	9560.899563
542	9550.864352
543	9534.198727
544	9518.733745
545	9515.638324
546	9511.128641
547	9495.970363
548	9488.168538
549	9473.648324
550	9452.684551
551	9435.482167
552	9423.06386
553	9405.54563
554	9392.385602
555	9371.707757
556	9370.770799
557	9360.257984
558	9348.080476
559	9331.231161
560	9320.323483
561	9306.575744
562	9291.017572
563	9284.973329
564	9283.307654
565	9266.100233
566	9252.733672
567	9251.482988
568	9245.088801
569	9233.465916
570	9222.958957
571	9216.996094
572	9211.843388
573	9197.629069
574	9184.556856
575	9174.977842
576	9162.965278
577	9153.482928
578	9152.435245
579	9132.821917
580	9120.591232
581	9107.239632
582	9094.971388
583	9091.023155
584	9081.596748
585	9071.600875
586	9070.717444
587	9069.950465
588	9054.250683
589	9042.221103
590	9026.362995
591	9010.428644
592	8995.572313
593	8976.204886
594	8966.865643
595	8956.74605
596	8940.34077
597	8939.50383
598	8938.537197
599	8931.975866
600	8923.208976
601	8906.386346
602	8896.458465
603	8885.674593
604	8877.412739
605	8866.360688
606	8853.156753
607	8843.31142
608	8835.19794
609	8828.278953
610	8821.438572
611	8799.228907
612	8790.052204
613	8777.773429
614	8764.296145
615	8750.995183
616	8739.21469
617	8732.87655
618	8712.981723
619	8712.369556
620	8705.547135
621	8692.732414
622	8682.622181
623	8669.857312
624	8657.732757
625	8648.910902
626	8647.765096
627	8646.935564
628	8634.12976
629	8623.425933
630	8621.972721
631	8608.206396
632	8594.745469
633	8583.824577
634	8571.887298
635	8563.618386
636	8551.748402
637	8544.883396
638	8530.571655
639	8516.181527
640	8508.749814
641	8497.139238
642	8489.83995
643	8476.357534
644	8464.862464
645	8455.085705
646	8445.099232
647	8433.481558
648	8427.112496
649	8410.431671
650	8393.023428
651	8383.075826
652	8375.596782
653	8363.413139
654	8353.096767
655	8346.469748
656	8345.484843
657	8337.467417
658	8325.542437
659	8306.474077
660	8292.314214
661	8275.956567
662	8262.570627
663	8255.017779
664	8241.93074
665	8235.597798
666	8223.327029
667	8211.798235
668	8211.241667
669	8201.974327
670	8192.772644
671	8182.196852
672	8176.311742
673	8160.979325
674	8155.272552
675	8139.716426
676	8138.801971
677	8127.758668
678	8111.694298
679	8111.031888
680	8105.050807
681	8098.81518
682	8086.837059
683	8077.982655
684	8057.994961
685	8046.5396
686	8045.900005
687	8031.328675
688	8021.042713
689	8009.220233
690	8004.339916
691	7994.921619
692	7984.002399
693	7974.291868
694	7963.834836
695	7957.188469
696	7950.96336
697	7941.396674
698	7928.520556
699	7924.066841
700	7912.010542
701	7898.156734
702	7888.240517
703	7879.763907
704	7866.656517
705	7858.039098
706	7843.232743
707	7835.557258
708	7834.948543
709	7830.172364
710	7818.276185
711	7804.183144
712	7795.937037
713	7791.523974
714	7786.717302
715	7781.992226
716	7773.472015
717	7763.261826
718	7750.048279
719	7737.628042
720	7730.962713
721	7720.332243
722	7702.929935
723	7694.559207
724	7681.470231
725	7669.064489
726	7667.038756
727	7656.76532
728	7646.385656
729	7640.058809
730	7630.142394
731	7620.720382
732	7610.39999
733	7599.57565
734	7589.475039
735	7584.019956
736	7575.70088
737	7571.722601
738	7561.106341
739	7547.764331
740	7546.989251
741	7538.739148
742	7530.102058
743	7519.435384
744	7507.289344
745	7498.102627
746	7497.469556
747	7488.354882
748	7481.623728
749	7475.365909
750	7473.047164
751	7464.925138
752	7464.264383
753	7457.317242
754	7454.530953
755	7442.690491
756	7428.322862
757	7417.430172
758	7414.288206
759	7409.653584
760	7402.793015
761	7394.846798
762	7384.841057
763	7384.302992
764	7374.945174
765	7365.779599
766	7361.529518
767	7352.732601
768	7344.697642
769	7341.682188
770	7326.71056
771	7326.237235
772	7314.630675
773	7307.888455
774	7298.24647
775	7290.242989
776	7278.332002
777	7267.750716
778	7253.682961
779	7244.761974
780	7238.603549
781	7229.339827
782	7222.944687
783	7214.050914
784	7196.957145
785	7196.037488
786	7187.248172
787	7177.318569
788	7176.80345
789	7167.5721
790	7162.087593
791	7152.313977
792	7141.016334
793	7132.243328
794	7120.71876
795	7111.662779
796	7104.542879
797	7101.667284
798	7093.727803
799	7082.937986
800	7082.41216
801	7069.668281
802	7065.096522
803	7059.220169
804	7050.837741
805	7041.946253
806	7029.007692
807	7025.400759
808	7024.708879
809	7021.141335
810	7018.367905
811	7005.775511
812	6998.709464
813	6988.401141
814	6983.086965
815	6980.769865
816	6968.056933
817	6961.227181
818	6950.178991
819	6939.79173
820	6932.717652
821	6921.016944
822	6911.508517
823	6903.580057
824	6890.0095
825	6879.162467
826	6867.543146
827	6862.187044
828	6858.932831
829	6854.256904
830	6849.848488
831	6848.37832
832	6844.87278
833	6835.015087
834	6832.928083
835	6822.610022
836	6813.145325
837	6810.963762
838	6802.323537
839	6791.58968
840	6781.664575
841	6780.923569
842	6772.289389
843	6763.908921
844	6756.878516
845	6749.199032
846	6742.78323
847	6742.31929
848	6737.981361
849	6731.571288
850	6719.162734
851	6714.572457
852	6701.448109
853	6691.850638
854	6686.519203
855	6676.824514
856	6673.067069
857	6664.705292
858	6654.329598
859	6644.558641
860	6630.488165
861	6622.777515
862	6622.432759
863	6616.973144
864	6606.355547
865	6596.748403
866	6589.623538
867	6585.727931
868	6585.03738
869	6579.249849
870	6577.432593
871	6569.966309
872	6566.581768
873	6550.980218
874	6546.323898
875	6536.156627
876	6529.106447
877	6528.635699
878	6524.7391
879	6517.907124
880	6517.169391
881	6504.093656
882	6495.978445
883	6491.048018
884	6488.557298
885	6480.226095
886	6479.355942
887	6471.57116
888	6469.760706
889	6462.665789
890	6462.276076
891	6456.553543
892	6452.687841
893	6450.263747
894	6444.27456
895	6438.312028
896	6434.449386
897	6431.698657
898	6424.253371
899	6423.343337
900	6417.448073
901	6408.840753
902	6404.841484
903	6404.457037
904	6396.377848
905	6387.895152
906	6381.06174
907	6374.445716
908	6371.69275
909	6362.474401
910	6356.896728
911	6353.950306
912	6347.905512
913	6346.060681
914	6345.342193
915	6336.384137
916	6330.662056
917	6330.228703
918	6323.226633
919	6321.403877
920	6314.337843
921	6302.6847
922	6302.238889
923	6295.399471
924	6288.527062
925	6282.688007
926	6275.703126
927	6272.21403
928	6261.532796
929	6257.646121
930	6249.429771
931	6239.458863
932	6236.299707
933	6223.45856
934	6221.42183
935	6220.752029
936	6217.655016
937	6208.467426
938	6203.424418
939	6199.816368
940	6195.045299
941	6186.61091
942	6186.097445
943	6175.748662
944	6166.866151
945	6155.398318
946	6147.449418
947	6138.101048
948	6133.481297
949	6125.236902
950	6119.230555
951	6110.388741
952	6106.230106
953	6100.725575
954	6086.346735
955	6082.643743
956	6071.396772
957	6060.886378
958	6058.559631
959	6052.108353
960	6046.429547
961	6037.937679
962	6035.555722
963	6027.688541
964	6026.081882
965	6018.352798
966	6011.635278
967	6002.375368
968	5995.285824
969	5987.896694
970	5980.929596
971	5974.345998
972	5969.251777
973	5965.843955
974	5957.801026
975	5946.950914
976	5943.237207
977	5936.018545
978	5926.597546
979	5921.343188
980	5915.152151
981	5905.548971
982	5899.827152
983	5894.338761
984	5889.059421
985	5881.637786
986	5873.919494
987	5867.236188
988	5860.874552
989	5860.563232
990	5855.47555
991	5854.015256
992	5850.093157
993	5846.959819
994	5837.559078
995	5830.272501
996	5820.749409
997	5819.190029
998	5811.127262
999	5806.212703
